defined_class	defined_class_label	v0	v0_label	v1	v1_label
http://purl.obolibrary.org/obo/XAO_0003135	sclerotome of tail somite 14	http://purl.obolibrary.org/obo/XAO_0000397	sclerotome	http://purl.obolibrary.org/obo/XAO_0000422	tail somite 14
http://purl.obolibrary.org/obo/XAO_0003137	sclerotome of tail somite 15	http://purl.obolibrary.org/obo/XAO_0000397	sclerotome	http://purl.obolibrary.org/obo/XAO_0000423	tail somite 15
http://purl.obolibrary.org/obo/XAO_0003139	sclerotome of tail somite 16	http://purl.obolibrary.org/obo/XAO_0000397	sclerotome	http://purl.obolibrary.org/obo/XAO_0000424	tail somite 16
http://purl.obolibrary.org/obo/XAO_0003141	sclerotome of tail somite 17	http://purl.obolibrary.org/obo/XAO_0000397	sclerotome	http://purl.obolibrary.org/obo/XAO_0000425	tail somite 17
http://purl.obolibrary.org/obo/XAO_0004623	sclerotome of tail somite 18	http://purl.obolibrary.org/obo/XAO_0000397	sclerotome	http://purl.obolibrary.org/obo/XAO_0004528	tail somite 18
http://purl.obolibrary.org/obo/XAO_0003113	sclerotome of trunk somite 1	http://purl.obolibrary.org/obo/XAO_0000397	sclerotome	http://purl.obolibrary.org/obo/XAO_0000406	trunk somite 1
http://purl.obolibrary.org/obo/XAO_0003127	sclerotome of trunk somite 10	http://purl.obolibrary.org/obo/XAO_0000397	sclerotome	http://purl.obolibrary.org/obo/XAO_0000418	trunk somite 10
http://purl.obolibrary.org/obo/XAO_0003129	sclerotome of trunk somite 11	http://purl.obolibrary.org/obo/XAO_0000397	sclerotome	http://purl.obolibrary.org/obo/XAO_0000419	trunk somite 11
http://purl.obolibrary.org/obo/XAO_0003131	sclerotome of trunk somite 12	http://purl.obolibrary.org/obo/XAO_0000397	sclerotome	http://purl.obolibrary.org/obo/XAO_0000420	trunk somite 12
http://purl.obolibrary.org/obo/XAO_0003133	sclerotome of trunk somite 13	http://purl.obolibrary.org/obo/XAO_0000397	sclerotome	http://purl.obolibrary.org/obo/XAO_0000421	trunk somite 13
http://purl.obolibrary.org/obo/XAO_0003114	sclerotome of trunk somite 2	http://purl.obolibrary.org/obo/XAO_0000397	sclerotome	http://purl.obolibrary.org/obo/XAO_0000407	trunk somite 2
http://purl.obolibrary.org/obo/XAO_0003115	sclerotome of trunk somite 3	http://purl.obolibrary.org/obo/XAO_0000397	sclerotome	http://purl.obolibrary.org/obo/XAO_0000408	trunk somite 3
http://purl.obolibrary.org/obo/XAO_0003116	sclerotome of trunk somite 4	http://purl.obolibrary.org/obo/XAO_0000397	sclerotome	http://purl.obolibrary.org/obo/XAO_0000409	trunk somite 4
http://purl.obolibrary.org/obo/XAO_0003121	sclerotome of trunk somite 5	http://purl.obolibrary.org/obo/XAO_0000397	sclerotome	http://purl.obolibrary.org/obo/XAO_0000410	trunk somite 5
http://purl.obolibrary.org/obo/XAO_0003122	sclerotome of trunk somite 6	http://purl.obolibrary.org/obo/XAO_0000397	sclerotome	http://purl.obolibrary.org/obo/XAO_0000411	trunk somite 6
http://purl.obolibrary.org/obo/XAO_0003123	sclerotome of trunk somite 7	http://purl.obolibrary.org/obo/XAO_0000397	sclerotome	http://purl.obolibrary.org/obo/XAO_0000412	trunk somite 7
http://purl.obolibrary.org/obo/XAO_0003124	sclerotome of trunk somite 8	http://purl.obolibrary.org/obo/XAO_0000397	sclerotome	http://purl.obolibrary.org/obo/XAO_0000416	trunk somite 8
http://purl.obolibrary.org/obo/XAO_0003126	sclerotome of trunk somite 9	http://purl.obolibrary.org/obo/XAO_0000397	sclerotome	http://purl.obolibrary.org/obo/XAO_0000417	trunk somite 9
http://purl.obolibrary.org/obo/XAO_0000428	trigeminal ganglion	http://purl.obolibrary.org/obo/XAO_0000209	ganglion	http://purl.obolibrary.org/obo/XAO_0000225	trigeminal placode
http://purl.obolibrary.org/obo/XAO_0000279	vegetal blastomere	http://purl.obolibrary.org/obo/XAO_0003016	blastomere	http://purl.obolibrary.org/obo/XAO_0000280	vegetal hemisphere
